http://vizier.u-strasbg.fr/viz-bin//asu-txt?&-source=VIII/100/gleamegc&-c.rs=2.000000&-out.max=100&DEJ2000=<-20&DEJ2000=>-40&RAJ2000=<7&Fint151=>10
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-25T22:10:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:,cds-question@unistra.fr
#
#
#Coosys,J2000:,eq_FK5 J2000
#INFO,votable-version=1.99+ (14-Oct-2013),
#INFO,-ref=VOTx19094,
#INFO,-out.max=100,
#INFO,queryParameters=8,
#-oc.form=D.
#-source=VIII/100/gleamegc
#-c.rs=2.000000
#-out.max=100
#DEJ2000=<-20
#DEJ2000=>-40
#RAJ2000=<7
#Fint151=>10
#

#RESOURCE=yCat_8100
#Name: VIII/100
#Title: GaLactic and Extragalactic All-sky MWA survey (Hurley-Walker+, 2016)
#Table,VIII_100_gleamegc:
#Name: VIII/100/gleamegc
#Title: GLEAM EGC catalog, version 2
#Column,GLEAM,(A14),GLEAM name (JHHMMSS+DDMMSS) (Name),[ucd=meta.id;meta.main]
#Column,RAJ2000,(F10.6),Right Ascension J2000 (RAJ2000),[ucd=pos.eq.ra]
#Column,DEJ2000,(F10.6),Declination J2000 (DEJ2000),[ucd=pos.eq.dec]
#Column,Fpwide,(F10.6),Peak flux in wide (170-231MHz) image (peak_flux_wide),[ucd=phot.flux.density]
#Column,Fintwide,(F10.6),Integrated flux in wide (170-231MHz) image (int_flux_wide),[ucd=phot.flux]
#Column,eabsFpct,(I2),Percent error in absolute flux scale - all frequencies (err_abs_flux_pct),[ucd=stat.error]
#Column,efitFpct,(I1),Percent error on internal flux scale - all frequencies (err_fit_flux_pct),[ucd=stat.error]
#Column,Fp076,(F11.6),? Peak flux in 072-080MHz image (peak_flux_076),[ucd=phot.flux.density]
#Column,Fint076,(F11.6),? Integrated flux in 072-080MHz image (int_flux_076),[ucd=phot.flux]
#Column,Fp084,(F11.6),? Peak flux in 080-088MHz image (peak_flux_084),[ucd=phot.flux.density]
#Column,Fint084,(F11.6),? Integrated flux in 080-088MHz image (int_flux_084),[ucd=phot.flux]
#Column,Fp092,(F11.6),? Peak flux in 088-095MHz image (peak_flux_092),[ucd=phot.flux.density]
#Column,Fint092,(F11.6),? Integrated flux in 088-095MHz image (int_flux_092),[ucd=phot.flux]
#Column,Fp099,(F11.6),? Peak flux in 095-103MHz image (peak_flux_099),[ucd=phot.flux.density]
#Column,Fint099,(F11.6),? Integrated flux in 095-103MHz image (int_flux_099),[ucd=phot.flux]
#Column,Fp107,(F11.6),? Peak flux in 103-111MHz image (peak_flux_107),[ucd=phot.flux.density]
#Column,Fint107,(F11.6),? Integrated flux in 103-111MHz image (int_flux_107),[ucd=phot.flux]
#Column,Fp115,(F11.6),? Peak flux in 111-118MHz image (peak_flux_115),[ucd=phot.flux.density]
#Column,Fint115,(F11.6),? Integrated flux in 111-118MHz image (int_flux_115),[ucd=phot.flux]
#Column,Fp122,(F11.6),? Peak flux in 118-126MHz image (peak_flux_122),[ucd=phot.flux.density]
#Column,Fint122,(F11.6),? Integrated flux in 118-126MHz image (int_flux_122),[ucd=phot.flux]
#Column,Fp130,(F11.6),? Peak flux in 126-134MHz image (peak_flux_130),[ucd=phot.flux.density]
#Column,Fint130,(F11.6),? Integrated flux in 126-134MHz image (int_flux_130),[ucd=phot.flux]
#Column,Fp143,(F11.6),? Peak flux in 139-147MHz image (peak_flux_143),[ucd=phot.flux.density]
#Column,Fint143,(F11.6),? Integrated flux in 139-147MHz image (int_flux_143),[ucd=phot.flux]
#Column,Fp151,(F11.6),? Peak flux in 147-154MHz image (peak_flux_151),[ucd=phot.flux.density]
#Column,Fint151,(F11.6),? Integrated flux in 147-154MHz image (int_flux_151),[ucd=phot.flux]
#Column,Fp158,(F11.6),? Peak flux in 154-162MHz image (peak_flux_158),[ucd=phot.flux.density]
#Column,Fint158,(F11.6),? Integrated flux in 154-162MHz image (int_flux_158),[ucd=phot.flux]
#Column,Fp166,(F11.6),? Peak flux in 162-170MHz image (peak_flux_166),[ucd=phot.flux.density]
#Column,Fint166,(F11.6),? Integrated flux in 162-170MHz image (int_flux_166),[ucd=phot.flux]
#Column,Fp174,(F11.6),? Peak flux in 170-177MHz image (peak_flux_174),[ucd=phot.flux.density]
#Column,Fint174,(F11.6),? Integrated flux in 170-177MHz image (int_flux_174),[ucd=phot.flux]
#Column,Fp181,(F11.6),? Peak flux in 177-185MHz image (peak_flux_181),[ucd=phot.flux.density]
#Column,Fint181,(F11.6),? Integrated flux in 177-185MHz image (int_flux_181),[ucd=phot.flux]
#Column,Fp189,(F11.6),? Peak flux in 185-193MHz image (peak_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint189,(F11.6),? Integrated flux in 185-193MHz image (int_flux_189),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp197,(F11.6),? Peak flux in 193-200MHz image (peak_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint197,(F11.6),? Integrated flux in 193-200MHz image (int_flux_197),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp204,(F11.6),? Peak flux in 200-208MHz image (peak_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fint204,(F11.6),? Integrated flux in 200-208MHz image (int_flux_204),[ucd=phot.flux.density;em.radio.200-400MHz]
#Column,Fp212,(F11.6),? Peak flux in 208-216MHz image (peak_flux_212),[ucd=phot.flux.density]
#Column,Fint212,(F11.6),? Integrated flux in 208-216MHz image (int_flux_212),[ucd=phot.flux]
#Column,Fp220,(F11.6),? Peak flux in 216-223MHz image (peak_flux_220),[ucd=phot.flux.density]
#Column,Fint220,(F11.6),? Integrated flux in 216-223MHz image (int_flux_220),[ucd=phot.flux]
#Column,Fp227,(F11.6),? Peak flux in 223-231MHz image (peak_flux_227),[ucd=phot.flux.density]
#Column,Fint227,(F11.6),? Integrated flux in 223-231MHz image (int_flux_227),[ucd=phot.flux]
#Column,alpha,(F9.6),? Fitted spectral index (alpha),[ucd=spect.index;meta.modelled]
#Column,Fintfit200,(F10.6),? Fitted 200MHz integrated flux density (int_flux_fit_200),[ucd=stat.fit;phot.flux]
GLEAM,RAJ2000,DEJ2000,Fpwide,Fintwide,eabsFpct,efitFpct,Fp076,Fint076,Fp084,Fint084,Fp092,Fint092,Fp099,Fint099,Fp107,Fint107,Fp115,Fint115,Fp122,Fint122,Fp130,Fint130,Fp143,Fint143,Fp151,Fint151,Fp158,Fint158,Fp166,Fint166,Fp174,Fint174,Fp181,Fint181,Fp189,Fint189,Fp197,Fint197,Fp204,Fint204,Fp212,Fint212,Fp220,Fint220,Fp227,Fint227,alpha,Fintfit200
J034631-342238,056.630573,-34.377254,  4.554674, 13.587742, 8,2,  20.067335,  28.559584,  17.440723,  26.428926,  15.324933,  24.512348,  13.529435,  22.884037,  12.003636,  21.923550,  10.643473,  20.613962,   9.624152,  19.619623,   8.699764,  18.728539,   7.376071,  17.459435,   6.672488,  16.691811,   6.174271,  16.211582,   5.678996,  15.635186,   5.130909,  15.030162,   4.737774,  14.609899,   4.352191,  14.047940,   4.123776,  13.850019,   3.799994,  13.497237,   3.552470,  13.237050,   3.334062,  12.917412,   3.090505,  12.638337,-0.747799, 13.661819
J020012-305324,030.050053,-30.890074, 16.461348, 14.829072, 8,2,  32.039780,  31.348959,  29.885878,  29.116152,  27.819971,  26.968094,  26.201820,  25.286118,  25.149878,  24.080458,  23.883192,  22.726450,  22.755774,  21.523874,  21.491346,  20.186329,  20.258619,  18.790081,  19.500959,  17.949156,  18.805117,  17.171616,  18.126808,  16.413353,  17.668365,  15.777269,  17.458179,  15.514252,  17.101522,  15.084491,  16.866726,  14.781009,  16.000662,  13.756103,  15.577364,  13.202918,  14.972397,  12.418852,  14.152906,  11.468634,-0.862534, 13.923950
J015035-293158,027.648842,-29.532959,  9.413655, 13.242726, 8,2,  26.066473,  28.554592,  23.848465,  26.573523,  21.685080,  24.589979,  20.071606,  23.125187,  18.652910,  22.064043,  17.322714,  20.893522,  16.075277,  19.741997,  14.852173,  18.652147,  13.426402,  17.425690,  12.512893,  16.595154,  11.704844,  15.844740,  11.120073,  15.335736,  10.413959,  14.829021,  10.050790,  14.454753,   9.613292,  14.061941,   9.132450,  13.571615,   8.372025,  12.909533,   8.010598,  12.585755,   7.471677,  12.206586,   7.087537,  11.834140,-0.802196, 13.244218
J013027-260956,022.615608,-26.165581,  9.868031,  9.327143, 8,2,  21.537573,  21.286957,  20.016939,  19.737623,  18.398914,  18.096167,  17.259073,  16.933313,  16.386703,  16.011633,  15.569867,  15.166754,  14.621524,  14.198134,  13.673763,  13.227160,  12.804181,  12.307180,  12.281562,  11.759134,  11.762052,  11.216912,  11.293428,  10.730784,  10.957259,  10.338810,  10.720990,  10.092686,  10.405947,   9.754557,  10.086800,   9.412831,   9.702437,   8.971345,   9.471242,   8.716531,   8.947245,   8.154873,   8.608570,   7.801888,-0.892923,  9.098920
J045826-300717,074.610214,-30.121391,  5.542467, 10.313630, 8,2,  19.141333,  22.526409,  17.153893,  20.826792,  15.277334,  19.122269,  14.030195,  18.036201,  12.580965,  16.977121,  11.416536,  15.938865,  10.390572,  15.015407,   9.544633,  14.211975,   8.261717,  13.200742,   7.648839,  12.655169,   7.100436,  12.221534,   6.592881,  11.745749,   6.165039,  11.414060,   5.773078,  11.067272,   5.402361,  10.758889,   5.071090,  10.419077,   4.747774,  10.172889,   4.419643,   9.881642,   4.188313,   9.649487,   3.945365,   9.428033,-0.798303, 10.256362
J045514-300646,073.809814,-30.112801, 13.053920, 13.878118, 8,2,  29.286533,  29.660336,  27.075357,  27.493814,  24.776567,  25.229633,  23.345785,  23.823643,  21.862268,  22.423237,  20.529774,  21.126743,  19.412758,  20.047688,  18.374172,  19.028118,  17.175131,  17.928951,  16.336153,  17.117123,  15.628001,  16.451401,  14.976202,  15.826877,  14.339903,  15.230990,  13.886863,  14.811911,  13.381394,  14.342709,  12.907910,  13.890477,  12.589001,  13.622553,  12.132141,  13.210517,  11.883688,  12.994144,  11.475829,  12.614759,-0.781251, 13.768454
J003508-200354,008.786017,-20.065029, 10.749332, 10.277838, 8,2,  20.195709,  20.012833,  18.990517,  18.783688,  17.820919,  17.593662,  17.065756,  16.814211,  16.060492,  15.778423,  15.501996,  15.195280,  14.690435,  14.360891,  14.140477,  13.787150,  13.417150,  13.002192,  13.053816,  12.613074,  12.726804,  12.258812,  12.257322,  11.768739,  11.939574,  11.410980,  11.679474,  11.130601,  11.212944,  10.633713,  10.954269,  10.344514,  10.717101,  10.071758,  10.410507,   9.738321,  10.022846,   9.314729,   9.694853,   8.960134,-0.710628, 10.184667
J010241-215227,015.671034,-21.874184,  6.609384,  7.065855, 8,2,  24.821363,  25.168476,  22.019672,  22.391199,  19.528189,  19.916260,  17.760778,  18.165264,  16.177277,  16.621555,  14.839238,  15.298877,  13.451152,  13.925739,  12.352784,  12.834062,  10.950348,  11.469822,  10.070763,  10.598229,   9.502112,  10.040144,   8.897709,   9.439964,   8.197658,   8.755647,   7.680433,   8.244775,   7.166830,   7.733618,   6.824159,   7.399699,   6.356783,   6.940318,   5.973088,   6.559894,   5.671848,   6.262875,   5.288656,   5.873707,-1.322923,  7.204848
J044437-280948,071.155449,-28.163597, 28.049866, 30.928867, 8,2,  62.541367,  63.889618,  58.096966,  59.597393,  53.619431,  55.244759,  50.554234,  52.286564,  47.462673,  49.474590,  44.829174,  46.978642,  42.070908,  44.343903,  39.856804,  42.206776,  36.022770,  38.647079,  34.600845,  37.342140,  32.951828,  35.829800,  31.394222,  34.371967,  30.544212,  33.692478,  29.375196,  32.631435,  28.219309,  31.597523,  27.040266,  30.491720,  27.005590,  30.678232,  25.641552,  29.440796,  25.143345,  29.017160,  24.075537,  28.027866,-0.762163, 30.477767
J035140-274354,057.917320,-27.731697, 10.020775, 16.066866, 8,2,  32.709633,  36.476723,  29.362600,  33.492344,  26.339682,  30.670429,  23.940674,  28.516874,  21.719152,  26.681963,  19.986702,  25.282730,  18.548759,  23.996643,  17.046120,  22.689974,  14.907332,  20.830364,  13.784488,  19.892273,  13.064836,  19.267162,  12.109950,  18.442793,  11.233532,  17.790203,  10.540851,  17.211689,   9.943418,  16.707453,   9.356849,  16.153599,   9.210109,  16.545425,   8.691692,  16.090740,   8.234924,  15.659714,   7.779361,  15.159799,-0.803922, 16.258155
J011651-205202,019.213554,-20.867250, 13.518977, 12.824503, 8,2,  13.230975,  13.090669,  13.672671,  13.500530,  13.746981,  13.542469,  13.961860,  13.724416,  14.147467,  13.856274,  14.350043,  14.016991,  14.340910,  13.965352,  14.236529,  13.821140,  14.576571,  14.064112,  14.354857,  13.793882,  14.519339,  13.908259,  14.258143,  13.606668,  14.203534,  13.484671,  14.055628,  13.283760,  13.883506,  13.064239,  13.665465,  12.791001,  13.492113,  12.557337,  13.281369,  12.293315,  13.117752,  12.074447,  12.880688,  11.795640,-0.097628, 12.886589
J063633-204225,099.138710,-20.707205, 11.234339, 11.179255, 8,2,  23.683397,  23.670231,  21.679474,  21.662153,  20.411589,  20.390244,  19.031462,  19.007496,  18.057186,  18.024433,  17.098179,  17.062584,  16.157612,  16.120316,  15.400977,  15.360706,  14.639786,  14.589911,  13.955225,  13.902125,  13.477250,  13.421528,  12.920391,  12.863208,  12.521861,  12.457773,  12.142547,  12.076090,  11.759397,  11.690190,  11.370956,  11.300135,  11.057958,  10.981876,  10.760784,  10.680946,  10.470510,  10.388925,  10.136146,  10.051622,-0.768209, 11.159153
J063631-203725,099.133301,-20.623714,  2.336383,  8.592536, 8,2,   9.912766,  16.800150,   8.801064,  16.146372,   7.606371,  14.895669,   6.481575,  13.415754,   6.012570,  13.678432,   5.296685,  12.832302,   4.789232,  12.233029,   4.310983,  11.570148,   3.786801,  11.351922,   3.423405,  10.826000,   3.125627,  10.345537,   2.659751,   9.206202,   2.647603,   9.741035,   2.444185,   9.394415,   2.267887,   9.096815,   2.134271,   8.934865,   1.968660,   8.692628,   1.824626,   8.375884,   1.707908,   8.161822,   1.624591,   8.075123,-0.680715,  8.751973
